day,n_questions
"2008-07-31 00:00:00","4"
"2008-08-01 00:00:00","48"
"2008-08-02 00:00:00","25"
"2008-08-03 00:00:00","33"
"2008-08-04 00:00:00","76"
"2008-08-05 00:00:00","115"
"2008-08-06 00:00:00","107"
"2008-08-07 00:00:00","134"
"2008-08-08 00:00:00","87"
"2008-08-09 00:00:00","42"
"2008-08-10 00:00:00","36"
"2008-08-11 00:00:00","82"
"2008-08-12 00:00:00","109"
"2008-08-13 00:00:00","103"
"2008-08-14 00:00:00","123"
"2008-08-15 00:00:00","111"
"2008-08-16 00:00:00","39"
"2008-08-17 00:00:00","56"
"2008-08-18 00:00:00","144"
"2008-08-19 00:00:00","176"
"2008-08-20 00:00:00","171"
"2008-08-21 00:00:00","225"
"2008-08-22 00:00:00","208"
"2008-08-23 00:00:00","79"
"2008-08-24 00:00:00","80"
"2008-08-25 00:00:00","171"
"2008-08-26 00:00:00","221"
"2008-08-27 00:00:00","254"
"2008-08-28 00:00:00","257"
"2008-08-29 00:00:00","233"
"2008-08-30 00:00:00","121"
"2008-08-31 00:00:00","90"
"2008-09-01 00:00:00","177"
"2008-09-02 00:00:00","279"
"2008-09-03 00:00:00","242"
"2008-09-04 00:00:00","253"
"2008-09-05 00:00:00","267"
"2008-09-06 00:00:00","102"
"2008-09-07 00:00:00","108"
"2008-09-08 00:00:00","271"
"2008-09-09 00:00:00","299"
"2008-09-10 00:00:00","296"
"2008-09-11 00:00:00","332"
"2008-09-12 00:00:00","275"
"2008-09-13 00:00:00","111"
"2008-09-14 00:00:00","98"
"2008-09-15 00:00:00","692"
"2008-09-16 00:00:00","1086"
"2008-09-17 00:00:00","1130"
"2008-09-18 00:00:00","999"
"2008-09-19 00:00:00","911"
"2008-09-20 00:00:00","322"
"2008-09-21 00:00:00","278"
"2008-09-22 00:00:00","697"
"2008-09-23 00:00:00","805"
"2008-09-24 00:00:00","787"
"2008-09-25 00:00:00","775"
"2008-09-26 00:00:00","716"
"2008-09-27 00:00:00","259"
"2008-09-28 00:00:00","251"
"2008-09-29 00:00:00","584"
"2008-09-30 00:00:00","658"
"2008-10-01 00:00:00","609"
"2008-10-02 00:00:00","635"
"2008-10-03 00:00:00","532"
"2008-10-04 00:00:00","214"
"2008-10-05 00:00:00","214"
"2008-10-06 00:00:00","508"
"2008-10-07 00:00:00","596"
"2008-10-08 00:00:00","660"
"2008-10-09 00:00:00","659"
"2008-10-10 00:00:00","567"
"2008-10-11 00:00:00","182"
"2008-10-12 00:00:00","189"
"2008-10-13 00:00:00","504"
"2008-10-14 00:00:00","613"
"2008-10-15 00:00:00","549"
"2008-10-16 00:00:00","600"
"2008-10-17 00:00:00","523"
"2008-10-18 00:00:00","204"
"2008-10-19 00:00:00","187"
"2008-10-20 00:00:00","488"
"2008-10-21 00:00:00","605"
"2008-10-22 00:00:00","626"
"2008-10-23 00:00:00","571"
"2008-10-24 00:00:00","508"
"2008-10-25 00:00:00","212"
"2008-10-26 00:00:00","213"
"2008-10-27 00:00:00","435"
"2008-10-28 00:00:00","578"
"2008-10-29 00:00:00","580"
"2008-10-30 00:00:00","544"
"2008-10-31 00:00:00","492"
"2008-11-01 00:00:00","139"
"2008-11-02 00:00:00","188"
"2008-11-03 00:00:00","474"
"2008-11-04 00:00:00","596"
"2008-11-05 00:00:00","540"
"2008-11-06 00:00:00","635"
"2008-11-07 00:00:00","558"
"2008-11-08 00:00:00","205"
"2008-11-09 00:00:00","216"
"2008-11-10 00:00:00","531"
"2008-11-11 00:00:00","520"
"2008-11-12 00:00:00","607"
"2008-11-13 00:00:00","539"
"2008-11-14 00:00:00","523"
"2008-11-15 00:00:00","230"
"2008-11-16 00:00:00","201"
"2008-11-17 00:00:00","508"
"2008-11-18 00:00:00","591"
"2008-11-19 00:00:00","589"
"2008-11-20 00:00:00","600"
"2008-11-21 00:00:00","566"
"2008-11-22 00:00:00","212"
"2008-11-23 00:00:00","203"
"2008-11-24 00:00:00","506"
"2008-11-25 00:00:00","563"
"2008-11-26 00:00:00","543"
"2008-11-27 00:00:00","391"
"2008-11-28 00:00:00","351"
"2008-11-29 00:00:00","206"
"2008-11-30 00:00:00","197"
"2008-12-01 00:00:00","463"
"2008-12-02 00:00:00","560"
"2008-12-03 00:00:00","562"
"2008-12-04 00:00:00","573"
"2008-12-05 00:00:00","507"
"2008-12-06 00:00:00","219"
"2008-12-07 00:00:00","211"
"2008-12-08 00:00:00","490"
"2008-12-09 00:00:00","550"
"2008-12-10 00:00:00","575"
"2008-12-11 00:00:00","579"
"2008-12-12 00:00:00","491"
"2008-12-13 00:00:00","214"
"2008-12-14 00:00:00","181"
"2008-12-15 00:00:00","511"
"2008-12-16 00:00:00","552"
"2008-12-17 00:00:00","568"
"2008-12-18 00:00:00","560"
"2008-12-19 00:00:00","482"
"2008-12-20 00:00:00","178"
"2008-12-21 00:00:00","179"
"2008-12-22 00:00:00","411"
"2008-12-23 00:00:00","420"
"2008-12-24 00:00:00","288"
"2008-12-25 00:00:00","123"
"2008-12-26 00:00:00","173"
"2008-12-27 00:00:00","175"
"2008-12-28 00:00:00","183"
"2008-12-29 00:00:00","356"
"2008-12-30 00:00:00","443"
"2008-12-31 00:00:00","317"
"2009-01-01 00:00:00","189"
"2009-01-02 00:00:00","372"
"2009-01-03 00:00:00","229"
"2009-01-04 00:00:00","277"
"2009-01-05 00:00:00","467"
"2009-01-06 00:00:00","586"
"2009-01-07 00:00:00","626"
"2009-01-08 00:00:00","612"
"2009-01-09 00:00:00","585"
"2009-01-10 00:00:00","272"
"2009-01-11 00:00:00","330"
"2009-01-12 00:00:00","611"
"2009-01-13 00:00:00","662"
"2009-01-14 00:00:00","662"
"2009-01-15 00:00:00","697"
"2009-01-16 00:00:00","594"
"2009-01-17 00:00:00","300"
"2009-01-18 00:00:00","294"
"2009-01-19 00:00:00","628"
"2009-01-20 00:00:00","670"
"2009-01-21 00:00:00","687"
"2009-01-22 00:00:00","653"
"2009-01-23 00:00:00","657"
"2009-01-24 00:00:00","284"
"2009-01-25 00:00:00","269"
"2009-01-26 00:00:00","616"
"2009-01-27 00:00:00","686"
"2009-01-28 00:00:00","680"
"2009-01-29 00:00:00","710"
"2009-01-30 00:00:00","634"
"2009-01-31 00:00:00","310"
"2009-02-01 00:00:00","288"
"2009-02-02 00:00:00","611"
"2009-02-03 00:00:00","715"
"2009-02-04 00:00:00","784"
"2009-02-05 00:00:00","788"
"2009-02-06 00:00:00","696"
"2009-02-07 00:00:00","335"
"2009-02-08 00:00:00","314"
"2009-02-09 00:00:00","704"
"2009-02-10 00:00:00","787"
"2009-02-11 00:00:00","805"
"2009-02-12 00:00:00","895"
"2009-02-13 00:00:00","717"
"2009-02-14 00:00:00","291"
"2009-02-15 00:00:00","306"
"2009-02-16 00:00:00","608"
"2009-02-17 00:00:00","732"
"2009-02-18 00:00:00","768"
"2009-02-19 00:00:00","757"
"2009-02-20 00:00:00","690"
"2009-02-21 00:00:00","328"
"2009-02-22 00:00:00","367"
"2009-02-23 00:00:00","728"
"2009-02-24 00:00:00","793"
"2009-02-25 00:00:00","819"
"2009-02-26 00:00:00","868"
"2009-02-27 00:00:00","775"
"2009-02-28 00:00:00","331"
"2009-03-01 00:00:00","327"
"2009-03-02 00:00:00","681"
"2009-03-03 00:00:00","850"
"2009-03-04 00:00:00","827"
"2009-03-05 00:00:00","794"
"2009-03-06 00:00:00","728"
"2009-03-07 00:00:00","335"
"2009-03-08 00:00:00","342"
"2009-03-09 00:00:00","751"
"2009-03-10 00:00:00","796"
"2009-03-11 00:00:00","780"
"2009-03-12 00:00:00","821"
"2009-03-13 00:00:00","786"
"2009-03-14 00:00:00","358"
"2009-03-15 00:00:00","340"
"2009-03-16 00:00:00","784"
"2009-03-17 00:00:00","776"
"2009-03-18 00:00:00","788"
"2009-03-19 00:00:00","763"
"2009-03-20 00:00:00","797"
"2009-03-21 00:00:00","348"
"2009-03-22 00:00:00","301"
"2009-03-23 00:00:00","777"
"2009-03-24 00:00:00","824"
"2009-03-25 00:00:00","884"
"2009-03-26 00:00:00","819"
"2009-03-27 00:00:00","783"
"2009-03-28 00:00:00","388"
